archivo,fruto,madurez,estado,motivo,en_revision,conf_palta,n_defectos,conf_defecto_min,ratio_defecto,frac_dudosa
T10_d01_002_a_1.jpg,T10_002,1,auto,,False,0.977,1,0.54,0.039,0.0
T10_d01_002_b_1.jpg,T10_002,1,revisar,area de defecto dudosa (100%),True,0.977,3,0.18,0.0792,1.0
T10_d01_003_a_1.jpg,T10_003,1,revisar,area de defecto dudosa (85%),True,0.976,3,0.172,0.1212,0.853
T10_d01_003_b_1.jpg,T10_003,1,revisar,area de defecto dudosa (100%),True,0.98,4,0.156,0.4023,1.0
T10_d01_007_a_1.jpg,T10_007,1,auto,,False,0.978,1,0.733,0.0335,0.0
T10_d01_007_b_1.jpg,T10_007,1,revisar,area de defecto dudosa (100%),True,0.976,1,0.485,0.05,1.0
T10_d01_011_a_1.jpg,T10_011,1,revisar,area de defecto dudosa (100%),True,0.977,3,0.166,0.196,1.0
T10_d01_011_b_1.jpg,T10_011,1,revisar,area de defecto dudosa (100%),True,0.977,1,0.369,0.0165,1.0
T10_d01_013_a_1.jpg,T10_013,1,auto,,False,0.978,0,,0.0,0.0
T10_d01_013_b_1.jpg,T10_013,1,auto,,False,0.977,0,,0.0,0.0
T10_d01_021_a_1.jpg,T10_021,1,revisar,area de defecto dudosa (100%),True,0.979,3,0.23,0.1485,0.999
T10_d01_021_b_1.jpg,T10_021,1,revisar,area de defecto dudosa (100%),True,0.979,1,0.39,0.0087,1.0
T10_d01_022_a_1.jpg,T10_022,1,auto,,False,0.982,0,,0.0,0.0
T10_d01_022_b_1.jpg,T10_022,1,revisar,area de defecto dudosa (100%),True,0.979,2,0.172,0.1971,1.0
T10_d01_026_a_1.jpg,T10_026,1,revisar,area de defecto dudosa (100%),True,0.976,6,0.157,0.3675,1.0
T10_d01_026_b_1.jpg,T10_026,1,revisar,area de defecto dudosa (100%),True,0.976,2,0.167,0.0998,1.0
T10_d01_027_a_1.jpg,T10_027,1,revisar,area de defecto dudosa (100%),True,0.978,3,0.239,0.1007,0.998
T10_d01_027_b_1.jpg,T10_027,1,auto,,False,0.98,0,,0.0,0.0
T10_d01_034_a_1.jpg,T10_034,1,auto,,False,0.979,0,,0.0,0.0
T10_d01_034_b_1.jpg,T10_034,1,revisar,area de defecto dudosa (100%),True,0.978,2,0.151,0.2736,1.0
T10_d01_037_a_1.jpg,T10_037,1,revisar,area de defecto dudosa (100%),True,0.976,6,0.231,0.1379,1.0
T10_d01_037_b_1.jpg,T10_037,1,auto,,False,0.974,1,0.747,0.0228,0.0
T10_d01_045_a_1.jpg,T10_045,1,revisar,area de defecto dudosa (100%),True,0.977,1,0.227,0.0604,1.0
T10_d01_045_b_1.jpg,T10_045,1,auto,,False,0.976,0,,0.0,0.0
T10_d01_046_a_1.jpg,T10_046,1,revisar,area de defecto dudosa (100%),True,0.977,3,0.275,0.098,1.0
T10_d01_046_b_1.jpg,T10_046,1,revisar,area de defecto dudosa (100%),True,0.98,4,0.232,0.048,1.0
T10_d01_047_a_1.jpg,T10_047,1,auto,,False,0.976,0,,0.0,0.0
T10_d01_047_b_1.jpg,T10_047,1,auto,,False,0.979,0,,0.0,0.0
T10_d01_048_a_1.jpg,T10_048,1,auto,,False,0.979,0,,0.0,0.0
T10_d01_048_b_1.jpg,T10_048,1,revisar,area de defecto dudosa (100%),True,0.978,2,0.207,0.3645,1.0
T10_d01_054_a_1.jpg,T10_054,1,revisar,area de defecto dudosa (87%),True,0.977,3,0.163,0.1428,0.87
T10_d01_054_b_1.jpg,T10_054,1,revisar,area de defecto dudosa (100%),True,0.972,5,0.171,0.1608,1.0
T10_d01_055_a_1.jpg,T10_055,1,auto,,False,0.981,1,0.685,0.0308,0.0
T10_d01_055_b_1.jpg,T10_055,1,auto,,False,0.979,1,0.771,0.0543,0.0
T10_d01_061_a_1.jpg,T10_061,1,revisar,area de defecto dudosa (100%),True,0.98,3,0.22,0.6833,1.0
T10_d01_061_b_1.jpg,T10_061,1,auto,,False,0.977,0,,0.0,0.0
T10_d01_067_a_1.jpg,T10_067,1,auto,,False,0.977,1,0.689,0.0456,0.0
T10_d01_067_b_1.jpg,T10_067,1,revisar,area de defecto dudosa (100%),True,0.976,3,0.196,0.171,1.0
T10_d01_069_a_1.jpg,T10_069,1,revisar,area de defecto dudosa (58%),True,0.978,4,0.162,0.1639,0.585
T10_d01_069_b_1.jpg,T10_069,1,revisar,area de defecto dudosa (100%),True,0.979,2,0.174,0.049,1.0
T10_d01_083_a_1.jpg,T10_083,1,auto,,False,0.978,1,0.677,0.0213,0.0
T10_d01_083_b_1.jpg,T10_083,1,auto,,False,0.977,1,0.593,0.022,0.0
T10_d01_089_a_1.jpg,T10_089,1,auto,,False,0.976,2,0.536,0.102,0.0
T10_d01_089_b_1.jpg,T10_089,1,revisar,area de defecto dudosa (94%),True,0.977,4,0.171,0.0727,0.939
T10_d01_093_a_1.jpg,T10_093,1,auto,,False,0.982,0,,0.0,0.0
T10_d01_093_b_1.jpg,T10_093,1,revisar,area de defecto dudosa (100%),True,0.981,3,0.161,0.051,1.0
T10_d01_094_a_1.jpg,T10_094,1,auto,,False,0.982,1,0.646,0.1139,0.0
T10_d01_094_b_1.jpg,T10_094,1,revisar,area de defecto dudosa (100%),True,0.981,1,0.171,0.307,1.0
T10_d01_096_a_1.jpg,T10_096,1,revisar,area de defecto dudosa (95%),True,0.975,3,0.159,0.0641,0.947
T10_d01_096_b_1.jpg,T10_096,1,revisar,area de defecto dudosa (85%),True,0.978,2,0.227,0.0914,0.853
T10_d01_097_a_1.jpg,T10_097,1,revisar,area de defecto dudosa (94%),True,0.98,2,0.216,0.0298,0.944
T10_d01_097_b_1.jpg,T10_097,1,revisar,area de defecto dudosa (100%),True,0.98,5,0.175,0.4746,1.0
T10_d01_098_a_1.jpg,T10_098,1,revisar,area de defecto dudosa (100%),True,0.98,2,0.158,0.0678,1.0
T10_d01_098_b_1.jpg,T10_098,1,auto,,False,0.978,1,0.546,0.0821,0.0
T10_d01_099_a_1.jpg,T10_099,1,auto,,False,0.977,0,,0.0,0.0
T10_d01_099_b_1.jpg,T10_099,1,auto,,False,0.981,0,,0.0,0.0
T10_d01_108_a_1.jpg,T10_108,1,auto,,False,0.978,0,,0.0,0.0
T10_d01_108_b_1.jpg,T10_108,1,revisar,area de defecto dudosa (100%),True,0.977,2,0.361,0.0804,0.999
T10_d01_109_a_1.jpg,T10_109,1,revisar,area de defecto dudosa (100%),True,0.978,6,0.166,0.2414,1.0
T10_d01_109_b_1.jpg,T10_109,1,revisar,area de defecto dudosa (100%),True,0.979,1,0.372,0.0314,1.0
T10_d01_110_a_1.jpg,T10_110,1,revisar,area de defecto dudosa (100%),True,0.98,3,0.242,0.156,1.0
T10_d01_110_b_1.jpg,T10_110,1,revisar,area de defecto dudosa (100%),True,0.972,1,0.482,0.0773,1.0
T10_d01_113_a_1.jpg,T10_113,1,auto,,False,0.98,1,0.889,0.1082,0.0
T10_d01_113_b_1.jpg,T10_113,1,revisar,area de defecto dudosa (100%),True,0.98,1,0.176,0.0517,1.0
T10_d01_118_a_1.jpg,T10_118,1,auto,,False,0.979,0,,0.0,0.0
T10_d01_118_b_1.jpg,T10_118,1,revisar,area de defecto dudosa (100%),True,0.975,4,0.163,0.2133,1.0
T10_d01_120_b_1.jpg,T10_120,1,revisar,area de defecto dudosa (75%),True,0.977,3,0.182,0.1954,0.751
T10_d01_122_b_1.jpg,T10_122,1,auto,,False,0.981,1,0.737,0.1201,0.0
