archivo,split,motivo
T10_d05_015_a_1_jpg.rf.H9jzY1ul6Si2lvp66j1L.jpg,test,defecto rectangular (respaldo de SAM2)
Tam_d01_416_b_1_jpg.rf.MeE9PK8AOVtk658MfBgD.jpg,test,defecto rectangular (respaldo de SAM2)
T20_d08_313_b_3_jpg.rf.dgOH6zDJDLFpTMJj6ZwZ.jpg,test,defecto rectangular (respaldo de SAM2)
Tam_d11_231_b_5_jpg.rf.iKM5rX2dyC2HnM1JHvsY.jpg,test,palta diminuta (0.36% de la imagen); defecto mayor que la palta (ratio 3.00)
T10_d01_149_a_1_jpg.rf.bZWP1qsJItI6EgSJriOJ.jpg,train,palta diminuta (0.03% de la imagen)
T10_d01_229_b_1_jpg.rf.8aPWvXdjHac2seWbtLIt.jpg,train,palta diminuta (0.08% de la imagen); defecto mayor que la palta (ratio 63.57)
T10_d02_054_a_1_jpg.rf.od65dNJKxYkNAw72Fxgf.jpg,train,palta diminuta (1.48% de la imagen); defecto mayor que la palta (ratio 1.21)
T10_d02_096_a_1_jpg.rf.hHkJsk0j1eCfWBtul8e1.jpg,train,defecto rectangular (respaldo de SAM2)
T10_d02_163_b_1_jpg.rf.Dxb8jnU6dNjXsjqzwRTR.jpg,train,defecto rectangular (respaldo de SAM2)
T10_d03_083_a_1_jpg.rf.oByUHHhcMnyTkPI5F7jn.jpg,train,defecto rectangular (respaldo de SAM2)
T10_d03_181_b_1_jpg.rf.Q2ywkL9HyEiNeByCJXpx.jpg,train,palta diminuta (0.18% de la imagen); defecto mayor que la palta (ratio 26.03)
T10_d03_196_a_1_jpg.rf.YTAM5CN2SkAFCaZKxvEy.jpg,train,palta diminuta (0.13% de la imagen); defecto mayor que la palta (ratio 8.45)
T10_d03_337_b_1_jpg.rf.jRiYs89J8yFBTq5PucGG.jpg,train,defecto rectangular (respaldo de SAM2)
T10_d04_069_b_1_jpg.rf.PywOlOf2tbn0yj0Es5IN.jpg,train,defecto rectangular (respaldo de SAM2)
