archivo,split,madurez,fruto
T10_d02_275_a_1_jpg.rf.wWksDXX3C4hOPp493IwD.jpg,test,1,T10_275
T10_d02_392_a_1_jpg.rf.WT9U0IIvLbGnQGxyJYs3.jpg,test,1,T10_392
T10_d04_392_a_1_jpg.rf.geQ8XEzHwQmefNdYTksw.jpg,test,1,T10_392
T10_d05_015_a_1_jpg.rf.H9jzY1ul6Si2lvp66j1L.jpg,test,1,T10_015
T10_d05_331_a_1_jpg.rf.b1FGOKCfExfaWFCMww9V.jpg,test,1,T10_331
T10_d07_092_b_1_jpg.rf.IBrTGWCH8aeLo5d7YC8n.jpg,test,1,T10_092
T10_d07_162_a_1_jpg.rf.bbhRE5HNb7la08x8NujH.jpg,test,1,T10_162
T10_d07_395_a_1_jpg.rf.zUv5iN86livDBX2qE7M5.jpg,test,1,T10_395
T10_d08_471_b_1_jpg.rf.pRWuPkTutq50iAoyAg3C.jpg,test,1,T10_471
T20_d01_161_a_1_jpg.rf.r36Ieig41ncbpcomQiyi.jpg,test,1,T20_161
T20_d01_313_a_1_jpg.rf.1klAiHbibnWDHQcDhzkc.jpg,test,1,T20_313
T20_d01_360_a_1_jpg.rf.k4KIbkrqdPoPmcnMaYMl.jpg,test,1,T20_360
T20_d02_279_a_1_jpg.rf.qiGpQSYpRNf8vnLAgM6j.jpg,test,1,T20_279
T20_d02_360_a_1_jpg.rf.sHflsZQXMh4OX0oDyZl6.jpg,test,1,T20_360
T20_d03_020_a_1_jpg.rf.yuX7H7Fa7HkhL822iZ3u.jpg,test,1,T20_020
T20_d03_020_b_1_jpg.rf.pk8FUXbNi1qWQ2QTocW6.jpg,test,1,T20_020
Tam_d01_078_a_1_jpg.rf.t02YWo5Y7Fpzg39RQCni.jpg,test,1,Tam_078
Tam_d01_396_b_1_jpg.rf.CVY7iu6OQBObWD54JFje.jpg,test,1,Tam_396
Tam_d01_416_b_1_jpg.rf.MeE9PK8AOVtk658MfBgD.jpg,test,1,Tam_416
Tam_d02_164_a_1_jpg.rf.TzOYMGAjlKtabJTYlQ5S.jpg,test,1,Tam_164
Tam_d02_209_a_1_jpg.rf.0jsPfTxG2RLdzsX9EOXs.jpg,test,1,Tam_209
Tam_d02_396_b_1_jpg.rf.jG9HU5TBKKAsJXehUBZH.jpg,test,1,Tam_396
Tam_d03_362_b_1_jpg.rf.fPnQcliq999xJrOVRVpo.jpg,test,1,Tam_362
T10_d08_395_b_2_jpg.rf.DJUWEHr1NsOu1G55MsI0.jpg,test,2,T10_395
T10_d09_015_b_2_jpg.rf.2Ge0th0cVSofMHjbISCE.jpg,test,2,T10_015
T10_d09_092_b_2_jpg.rf.DWQDYA92dLhnGvpbJtrW.jpg,test,2,T10_092
T10_d09_100_b_2_jpg.rf.85zCsiVRvzfxbqMaBLNP.jpg,test,2,T10_100
T10_d09_162_b_2_jpg.rf.35WkU4ly6qoGaBbWkKFZ.jpg,test,2,T10_162
T10_d09_219_b_2_jpg.rf.tH8lBZtIlsRhVmmgSrxC.jpg,test,2,T10_219
T10_d10_275_b_2_jpg.rf.siGmwB5nnYXByUnGOoAu.jpg,test,2,T10_275
T10_d12_471_b_2_jpg.rf.0oxDsckZowNWvf6WM7rs.jpg,test,2,T10_471
T20_d03_190_b_2_jpg.rf.bIiegaqHUbV0Of9UiR7B.jpg,test,2,T20_190
T20_d03_360_b_2_jpg.rf.Vt9TJ05XjELgN6oqImnc.jpg,test,2,T20_360
T20_d03_468_a_2_jpg.rf.Gc5gIYPsXJMpRuqXTQdN.jpg,test,2,T20_468
T20_d04_360_b_2_jpg.rf.U1m2sXU9UTl3NDHMkQd6.jpg,test,2,T20_360
T20_d04_462_b_2_jpg.rf.jcCYsIqV0Libi90gZaqp.jpg,test,2,T20_462
Tam_d03_281_a_2_jpg.rf.tfsU5t1yPrvrzJfMRBpa.jpg,test,2,Tam_281
Tam_d03_339_b_2_jpg.rf.7bQRsPaiRmGMYKUMSICQ.jpg,test,2,Tam_339
Tam_d04_209_a_2_jpg.rf.RdFlPkURPfi3cVImtvwZ.jpg,test,2,Tam_209
Tam_d04_396_a_2_jpg.rf.J2mnBMCs8jGNhm8H7zkL.jpg,test,2,Tam_396
