epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,train/mad_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),metrics/madurez_acc,metrics/madurez_f1,val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,val/mad_loss,lr/pg0,lr/pg1,lr/pg2
1,57.5914,0.94807,1.8918,2.49621,1.41495,0,1.60736,0.65372,0.60846,0.59552,0.50925,0.65729,0.61076,0.58987,0.54144,0.21552,0.12394,0.86035,1.9913,1.20975,1.38922,0,1.61031,0.000550474,0.000550474,0.000550474
2,77.2757,0.96589,1.68558,1.16671,1.42602,0,1.45235,0.63089,0.10776,0.07988,0.0349,0.66754,0.13793,0.12516,0.05249,0.21552,0.07092,2.22885,6.08997,10.9279,4.51523,0,12.6036,0.00109519,0.00109519,0.00109519
3,96.8536,0.96154,1.63266,1.08189,1.4224,0,1.1908,0.80465,0.40669,0.42584,0.20848,0.81935,0.45043,0.42766,0.38655,0.28448,0.17412,1.7196,2.26703,2.19873,2.54369,0,6.17915,0.0016289,0.0016289,0.0016289
4,116.51,0.96996,1.65177,1.08857,1.44358,0,1.03831,0.92551,0.42241,0.47413,0.39672,0.94197,0.42672,0.49043,0.43228,0.43534,0.27366,1.15979,2.26122,1.73022,1.57103,0,1.58213,0.00161749,0.00161749,0.00161749
5,135.279,0.87026,1.55931,0.9519,1.3454,0,1.01347,0.62371,0.62502,0.62551,0.49967,0.57136,0.58585,0.56778,0.49284,0.50431,0.3928,0.94045,2.0734,1.27771,1.44117,0,1.4659,0.00160099,0.00160099,0.00160099
6,153.764,0.8845,1.54199,0.96144,1.34528,0,1.12189,0.6241,0.62442,0.60583,0.51643,0.65099,0.61521,0.59694,0.52517,0.44397,0.33219,0.93336,1.75862,1.0193,1.40264,0,1.42238,0.00158448,0.00158448,0.00158448
7,172.23,0.83041,1.5665,0.87545,1.29074,0,1.07206,0.67653,0.66359,0.64694,0.54827,0.68629,0.65668,0.62676,0.54284,0.4569,0.3589,0.74662,1.70309,0.85365,1.25884,0,1.02222,0.00156798,0.00156798,0.00156798
8,190.777,0.80591,1.49768,0.86186,1.28813,0,1.05313,0.63751,0.67281,0.62725,0.54944,0.64839,0.66129,0.61884,0.55412,0.62069,0.56395,0.7126,1.49296,0.79219,1.21309,0,0.90083,0.00155148,0.00155148,0.00155148
9,209.342,0.78607,1.45617,0.84846,1.26327,0,0.98971,0.53704,0.64592,0.66117,0.53973,0.53074,0.62159,0.62463,0.52029,0.2931,0.18492,0.81501,2.00841,0.96788,1.30379,0,1.32292,0.00153497,0.00153497,0.00153497
10,227.86,0.80108,1.47934,0.83728,1.2581,0,0.97606,0.74093,0.67512,0.68436,0.56619,0.74983,0.65668,0.66021,0.57277,0.55172,0.5052,0.84505,1.63445,0.89935,1.29132,0,0.8794,0.00151847,0.00151847,0.00151847
11,246.372,0.78323,1.42928,0.83166,1.26003,0,1.00761,0.72336,0.70046,0.69132,0.57681,0.71446,0.68664,0.67087,0.5699,0.43103,0.3644,0.70243,1.4682,0.77696,1.22077,0,1.0768,0.00150197,0.00150197,0.00150197
12,264.85,0.76874,1.41074,0.80201,1.25927,0,1.00987,0.7541,0.69646,0.71123,0.59048,0.76578,0.65899,0.6938,0.59151,0.38793,0.33232,0.69255,1.43482,0.73212,1.19979,0,1.20582,0.00148546,0.00148546,0.00148546
13,283.358,0.76761,1.39597,0.76915,1.24494,0,0.96838,0.69532,0.70507,0.68169,0.56008,0.70472,0.68664,0.66413,0.56844,0.62069,0.56272,0.78448,1.47176,0.82751,1.26545,0,0.86436,0.00146896,0.00146896,0.00146896
14,302.399,0.78091,1.42536,0.8161,1.27446,0,0.95391,0.68861,0.66462,0.68789,0.56634,0.73299,0.62733,0.67867,0.57838,0.46983,0.43657,0.79772,1.47252,0.87629,1.31398,0,1.01294,0.00145246,0.00145246,0.00145246
15,322.316,0.75388,1.36693,0.78324,1.24205,0,0.93265,0.78863,0.70276,0.73952,0.59674,0.76478,0.68203,0.69954,0.59147,0.44397,0.35193,0.68685,1.48801,0.73155,1.19732,0,1.39385,0.00143595,0.00143595,0.00143595
16,342.279,0.75771,1.37031,0.77607,1.23341,0,0.94462,0.71797,0.70507,0.71125,0.58451,0.71224,0.68433,0.68195,0.58438,0.60776,0.56255,0.7148,1.47732,0.73846,1.20164,0,0.84699,0.00141945,0.00141945,0.00141945
17,362.154,0.75333,1.39922,0.80509,1.24537,0,0.92387,0.69163,0.66649,0.67939,0.54909,0.67835,0.65267,0.65004,0.55628,0.53448,0.48647,0.83791,1.45901,0.98443,1.31974,0,0.932,0.00140295,0.00140295,0.00140295
18,383.298,0.74361,1.39362,0.78189,1.22304,0,0.90073,0.74357,0.71429,0.722,0.60261,0.72893,0.69925,0.69639,0.59545,0.56466,0.51657,0.65948,1.38718,0.70868,1.17004,0,0.91857,0.00138644,0.00138644,0.00138644
19,404.629,0.69917,1.35621,0.72871,1.20423,0,0.86943,0.81307,0.68894,0.73931,0.60743,0.79049,0.6758,0.70727,0.59769,0.62931,0.60563,0.69356,1.40517,0.72504,1.19056,0,0.82152,0.00136994,0.00136994,0.00136994
20,426.647,0.70473,1.31703,0.71444,1.19448,0,0.87857,0.77038,0.69355,0.72489,0.60163,0.73923,0.67251,0.69177,0.59684,0.625,0.60257,0.64356,1.34866,0.70736,1.17065,0,0.78197,0.00135344,0.00135344,0.00135344
21,447.519,0.70182,1.29439,0.72091,1.20088,0,0.90617,0.81434,0.70737,0.74159,0.60649,0.80287,0.68203,0.70664,0.59878,0.59483,0.56567,0.66114,1.39183,0.70067,1.19479,0,0.82301,0.00133693,0.00133693,0.00133693
22,467.601,0.70913,1.3297,0.69928,1.19949,0,0.86906,0.75528,0.72811,0.73125,0.60337,0.7379,0.71023,0.71244,0.59748,0.59483,0.56616,0.65161,1.47702,0.69634,1.19547,0,0.86479,0.00132043,0.00132043,0.00132043
23,487.369,0.71686,1.32381,0.73726,1.21507,0,0.92898,0.77434,0.68664,0.72952,0.6083,0.80305,0.65899,0.70748,0.60201,0.60776,0.58087,0.64864,1.35927,0.72004,1.18445,0,0.88485,0.00130393,0.00130393,0.00130393
24,507.424,0.6908,1.30447,0.7177,1.19815,0,0.8662,0.77259,0.69583,0.73142,0.60693,0.7211,0.70507,0.70811,0.59807,0.56897,0.55412,0.65069,1.38586,0.67648,1.17536,0,0.8243,0.00128742,0.00128742,0.00128742
25,527.041,0.70647,1.35546,0.73152,1.20367,0,0.84647,0.7581,0.71659,0.73925,0.59646,0.75181,0.68664,0.69335,0.59288,0.55603,0.50595,0.66305,1.36963,0.71089,1.17759,0,0.95015,0.00127092,0.00127092,0.00127092
26,547.978,0.70518,1.32569,0.72426,1.18967,0,0.86743,0.76422,0.70276,0.73839,0.60121,0.74649,0.68051,0.71111,0.60035,0.48276,0.43047,0.6857,1.37838,0.72327,1.18255,0,0.98098,0.00125442,0.00125442,0.00125442
