epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,train/mad_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),metrics/madurez_acc,metrics/madurez_f1,val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,val/mad_loss,lr/pg0,lr/pg1,lr/pg2
1,55.264,0.96437,2.04767,2.40296,1.39712,0,1.61456,0.46847,0.61046,0.51052,0.28914,0.45905,0.60729,0.495,0.38711,0.23077,0.13076,1.24243,2.8596,2.78488,1.70196,0,1.62173,0.000550615,0.000550615,0.000550615
2,74.714,0.95644,1.75295,1.15432,1.39443,0,1.53347,0.74394,0.37821,0.39942,0.33866,0.76358,0.41026,0.42144,0.36064,0.39744,0.29909,1.24273,1.79019,3.24795,1.82752,0,1.29464,0.00109533,0.00109533,0.00109533
3,94.2571,0.9549,1.73217,1.06865,1.39589,0,1.12949,0.36505,0.38889,0.41238,0.23872,0.35417,0.33731,0.33623,0.27246,0.42308,0.23998,1.70588,5.09017,10.3877,2.34955,0,3.08361,0.00162904,0.00162904,0.00162904
4,113.844,0.91162,1.62733,0.98481,1.34811,0,1.1224,0.53437,0.62016,0.5809,0.49602,0.53493,0.6125,0.56586,0.5154,0.46154,0.33283,0.93262,1.71211,1.34609,1.41753,0,1.23704,0.00161749,0.00161749,0.00161749
5,133.463,0.88827,1.61981,0.95929,1.3393,0,1.10338,0.4603,0.5416,0.50912,0.34397,0.4566,0.49605,0.48064,0.28693,0.52137,0.43374,1.33917,3.22467,1.82744,1.65041,0,1.02729,0.00160099,0.00160099,0.00160099
6,152.957,0.84525,1.61212,0.90332,1.29532,0,1.07021,0.65453,0.66742,0.6299,0.53783,0.65788,0.64932,0.62368,0.5468,0.61538,0.56496,0.82278,1.65868,0.89807,1.29564,0,0.85314,0.00158448,0.00158448,0.00158448
7,172.368,0.83205,1.61785,0.86775,1.29861,0,1.04976,0.19162,0.19532,0.1568,0.05706,0.21732,0.16616,0.14901,0.05814,0.41453,0.35633,2.1597,3.15877,3.32539,2.46594,0,1.1552,0.00156798,0.00156798,0.00156798
8,192.206,0.81406,1.57628,0.86363,1.27492,0,1.04733,0.68058,0.67647,0.66199,0.56091,0.68628,0.63199,0.63213,0.56181,0.59402,0.55069,0.75169,1.55582,0.83287,1.26494,0,0.85172,0.00155148,0.00155148,0.00155148
9,212.106,0.80808,1.53897,0.84207,1.26182,0,0.98864,0.68163,0.67109,0.63348,0.55025,0.67373,0.66094,0.62135,0.55215,0.48291,0.45084,0.72362,1.54432,0.81694,1.22187,0,1.10448,0.00153497,0.00153497,0.00153497
10,232.137,0.78279,1.48882,0.81693,1.24589,0,1.01496,0.68491,0.68834,0.65796,0.55653,0.69598,0.66311,0.65277,0.56547,0.48718,0.35953,0.71186,1.54199,0.81535,1.20788,0,1.06605,0.00151847,0.00151847,0.00151847
11,252.06,0.77537,1.49039,0.78019,1.22623,0,0.92388,0.76034,0.67647,0.71706,0.5831,0.76533,0.67195,0.69602,0.59298,0.58547,0.55157,0.73627,1.5347,0.8011,1.22115,0,0.82039,0.00150197,0.00150197,0.00150197
12,272.088,0.76731,1.49815,0.7856,1.22239,0,0.98642,0.72871,0.68778,0.68185,0.56718,0.74039,0.6629,0.66277,0.57906,0.61966,0.55602,0.75557,1.55064,0.82797,1.22562,0,0.8206,0.00148546,0.00148546,0.00148546
13,292.094,0.77347,1.45982,0.76952,1.22685,0,0.91213,0.77388,0.70814,0.71834,0.59165,0.76566,0.68552,0.69094,0.58551,0.45299,0.42348,0.69494,1.54077,0.75957,1.20562,0,1.17906,0.00146896,0.00146896,0.00146896
14,312.166,0.76337,1.47569,0.75288,1.22565,0,0.90217,0.73199,0.70034,0.71622,0.58447,0.77311,0.64027,0.68065,0.58806,0.47863,0.4378,0.7728,1.50869,0.76499,1.22228,0,1.1213,0.00145246,0.00145246,0.00145246
15,332.425,0.73088,1.43123,0.73834,1.19579,0,0.90811,0.76812,0.69734,0.70972,0.59266,0.75176,0.66742,0.68252,0.58516,0.60684,0.59279,0.68242,1.49072,0.71329,1.16062,0,0.81157,0.00143595,0.00143595,0.00143595
16,352.01,0.72766,1.39682,0.73244,1.20563,0,0.91109,0.75399,0.72172,0.73411,0.59978,0.77181,0.65889,0.6884,0.59473,0.61538,0.58185,0.69141,1.48557,0.72417,1.20067,0,0.84478,0.00141945,0.00141945,0.00141945
17,371.654,0.71659,1.41067,0.70998,1.18223,0,0.86836,0.70806,0.71292,0.72818,0.6014,0.66799,0.68351,0.68555,0.59211,0.55128,0.48025,0.6901,1.48312,0.75382,1.18111,0,0.97655,0.00140295,0.00140295,0.00140295
18,391.176,0.74369,1.409,0.74385,1.20465,0,0.92676,0.47469,0.5494,0.57788,0.42229,0.47156,0.5137,0.55265,0.38982,0.26068,0.17537,1.21073,2.66539,1.50061,1.66144,0,2.388,0.00138644,0.00138644,0.00138644
19,410.66,0.72521,1.38518,0.70429,1.18545,0,0.90337,0.73127,0.71881,0.73469,0.59989,0.77118,0.69494,0.71243,0.60099,0.61538,0.57309,0.69907,1.45531,0.74775,1.19718,0,0.90525,0.00136994,0.00136994,0.00136994
20,430.164,0.69718,1.37199,0.69342,1.17598,0,0.87624,0.77013,0.71267,0.737,0.59974,0.75906,0.6991,0.71579,0.60811,0.63248,0.62304,0.63685,1.3919,0.73073,1.15204,0,0.8056,0.00135344,0.00135344,0.00135344
21,449.793,0.71906,1.38464,0.69761,1.19382,0,0.86886,0.75172,0.71636,0.70721,0.58741,0.73904,0.69683,0.69024,0.58649,0.46581,0.43396,0.69932,1.47285,0.71657,1.19882,0,1.20457,0.00133693,0.00133693,0.00133693
22,469.339,0.70947,1.37476,0.69776,1.19435,0,0.8794,0.76063,0.7048,0.71445,0.58671,0.7144,0.66378,0.67176,0.5764,0.48718,0.44366,0.68173,1.47193,0.79601,1.19943,0,1.13372,0.00132043,0.00132043,0.00132043
23,488.879,0.69384,1.36288,0.68216,1.16728,0,0.84052,0.78503,0.72182,0.75269,0.6117,0.76459,0.70136,0.71956,0.60333,0.60256,0.56788,0.66642,1.39247,0.69739,1.16679,0,0.89286,0.00130393,0.00130393,0.00130393
24,508.472,0.70707,1.36593,0.7101,1.16726,0,0.84056,0.76358,0.72554,0.75303,0.61405,0.73794,0.68209,0.70538,0.59698,0.57692,0.519,0.65223,1.47965,0.70692,1.16889,0,0.93535,0.00128742,0.00128742,0.00128742
25,528.002,0.7044,1.36021,0.6725,1.16994,0,0.89213,0.77384,0.6991,0.73354,0.61087,0.79486,0.69108,0.72757,0.6134,0.55556,0.5128,0.65679,1.39066,0.72696,1.16275,0,0.94958,0.00127092,0.00127092,0.00127092
26,547.58,0.69801,1.35577,0.67722,1.16769,0,0.83992,0.75166,0.72398,0.73499,0.60064,0.72619,0.69683,0.69118,0.59085,0.5812,0.56269,0.66428,1.49059,0.71,1.16747,0,0.85476,0.00125442,0.00125442,0.00125442
27,567.38,0.68788,1.34571,0.67462,1.172,0,0.85509,0.75592,0.72172,0.72663,0.6073,0.7424,0.69215,0.70889,0.60065,0.5812,0.54431,0.65196,1.42343,0.68305,1.16515,0,0.96553,0.00123791,0.00123791,0.00123791
28,586.906,0.71043,1.37326,0.69322,1.19221,0,0.86152,0.80369,0.70814,0.73716,0.60763,0.79833,0.69092,0.71716,0.60361,0.44444,0.36163,0.65132,1.43003,0.69761,1.17165,0,1.44641,0.00122141,0.00122141,0.00122141
29,606.399,0.67945,1.37661,0.66221,1.15769,0,0.80105,0.84327,0.71719,0.77514,0.62072,0.79466,0.68778,0.7306,0.6121,0.63248,0.61051,0.63318,1.42545,0.63405,1.13689,0,0.9284,0.00120491,0.00120491,0.00120491
30,626.044,0.68904,1.31651,0.66108,1.14975,0,0.8348,0.82247,0.67267,0.72913,0.59146,0.72766,0.64136,0.67146,0.57636,0.47436,0.44755,0.75939,1.61627,0.85676,1.2488,0,1.11697,0.0011884,0.0011884,0.0011884
31,645.625,0.67123,1.29261,0.65845,1.15042,0,0.85526,0.63231,0.50245,0.57401,0.43987,0.61313,0.48888,0.54792,0.38969,0.59402,0.55579,1.21248,2.61117,1.47395,1.5899,0,0.92197,0.0011719,0.0011719,0.0011719
32,665.303,0.68161,1.31868,0.64588,1.15995,0,0.82907,0.86315,0.71041,0.7609,0.62848,0.80261,0.6991,0.72463,0.61498,0.63248,0.59893,0.62756,1.44484,0.66915,1.16187,0,0.80557,0.0011554,0.0011554,0.0011554
33,684.796,0.6737,1.30916,0.64244,1.15163,0,0.77441,0.80153,0.68552,0.74303,0.61655,0.76376,0.69964,0.72449,0.60754,0.58974,0.55937,0.65885,1.45859,0.7034,1.16717,0,0.80048,0.00113889,0.00113889,0.00113889
34,704.228,0.65248,1.31341,0.65587,1.14365,0,0.82712,0.81551,0.73943,0.77329,0.63176,0.80885,0.71871,0.74225,0.62658,0.61111,0.60992,0.62956,1.36199,0.64857,1.14516,0,0.8432,0.00112239,0.00112239,0.00112239
