epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,train/mad_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),metrics/madurez_acc,metrics/madurez_f1,val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,val/mad_loss,lr/pg0,lr/pg1,lr/pg2
1,57.2187,0.96067,2.03592,2.37673,1.39991,0,1.61278,0.92853,0.4228,0.53081,0.40479,0.92688,0.42308,0.51336,0.45658,0.21368,0.1068,1.13163,2.3146,2.66877,1.58392,0,1.57478,0.000550615,0.000550615,0.000550615
2,77.9144,0.99097,1.74238,1.16193,1.4079,0,1.42393,0.76663,0.24573,0.28893,0.22228,0.76663,0.24573,0.28953,0.234,0.21368,0.07042,1.77861,3.99278,3.48071,3.23047,0,4.43919,0.00109533,0.00109533,0.00109533
3,98.7341,0.95101,1.68924,1.06388,1.39529,0,1.12405,0.94833,0.30556,0.31515,0.28247,0.94833,0.30556,0.31474,0.30549,0.42735,0.25032,1.48768,7.62953,9.75165,2.40738,0,3.18378,0.00162904,0.00162904,0.00162904
4,119.432,0.94107,1.63135,1.01979,1.36669,0,1.0972,0.96728,0.39957,0.5083,0.43462,0.96728,0.39957,0.50121,0.3992,0.34615,0.25613,1.13473,2.64946,3.20832,1.58909,0,1.61673,0.00161749,0.00161749,0.00161749
5,140.161,0.88105,1.61355,0.96036,1.35596,0,1.07877,0.14241,0.09678,0.07159,0.02071,0.15455,0.09226,0.07389,0.03184,0.51282,0.36948,2.6537,4.76484,5.26327,3.29213,0,1.14844,0.00160099,0.00160099,0.00160099
6,160.34,0.87002,1.62214,0.90334,1.33775,0,1.0699,0.60253,0.62217,0.62663,0.52461,0.64597,0.60407,0.62615,0.55368,0.39744,0.3706,0.85919,1.62582,1.00844,1.365,0,1.08164,0.00158448,0.00158448,0.00158448
7,180.293,0.83698,1.58934,0.90462,1.31682,0,1.05562,0.63079,0.67162,0.61571,0.53391,0.63615,0.6448,0.59322,0.53891,0.56838,0.51562,0.85284,1.79026,0.93808,1.32684,0,0.94765,0.00156798,0.00156798,0.00156798
8,200.935,0.8224,1.58005,0.87885,1.29012,0,1.06089,0.67297,0.63546,0.62908,0.52119,0.68267,0.63575,0.62578,0.5565,0.61111,0.59301,0.8677,1.56976,0.97441,1.3335,0,0.87183,0.00155148,0.00155148,0.00155148
9,221.83,0.83102,1.54941,0.85491,1.28017,0,0.9668,0.6945,0.66968,0.6776,0.57077,0.73585,0.6475,0.65945,0.574,0.47009,0.42565,0.75028,1.56369,0.83419,1.2486,0,1.32662,0.00153497,0.00153497,0.00153497
10,242.949,0.78307,1.5132,0.82895,1.24854,0,1.01879,0.35714,0.49434,0.38745,0.25039,0.33957,0.47888,0.37405,0.20228,0.25214,0.13797,1.44461,4.06473,2.00426,1.82903,0,2.18797,0.00151847,0.00151847,0.00151847
