epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,train/mad_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),metrics/madurez_acc,metrics/madurez_f1,val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,val/mad_loss,lr/pg0,lr/pg1,lr/pg2
1,147.066,0.60137,0.90275,0.95588,1.09906,0,1.2356,0.66575,0.64761,0.64499,0.5318,0.67864,0.64761,0.64074,0.56703,0.60776,0.58625,0.92616,1.73949,1.05562,1.35805,0,1.00599,0.000554855,0.000554855,0.000554855
2,253.344,0.57085,0.77872,0.52642,1.07329,0,0.93386,0.68643,0.63134,0.67395,0.575,0.68013,0.63112,0.65689,0.57457,0.55172,0.47667,0.77105,1.62746,0.84987,1.26562,0,0.99667,0.00109953,0.00109953,0.00109953
3,361.174,0.55999,0.76576,0.50551,1.06627,0,0.92633,0.77749,0.70507,0.71533,0.59064,0.7458,0.68203,0.68535,0.59317,0.51293,0.4553,0.78071,1.57343,0.78773,1.24583,0,1.01112,0.0016332,0.0016332,0.0016332
4,468.044,0.54413,0.74288,0.48515,1.05414,0,0.88656,0.77277,0.61983,0.68732,0.55978,0.69381,0.62316,0.6494,0.48466,0.46983,0.42882,0.819,3.08826,0.8866,1.31256,0,1.17182,0.00161749,0.00161749,0.00161749
5,577.762,0.50357,0.69736,0.42592,1.02249,0,0.87128,0.75474,0.74424,0.73285,0.60467,0.73836,0.68664,0.69609,0.59754,0.625,0.5759,0.68482,1.50359,0.63682,1.1894,0,0.79284,0.00160099,0.00160099,0.00160099
6,687.516,0.48937,0.67641,0.41083,1.01673,0,0.84762,0.8248,0.71429,0.74931,0.62531,0.78436,0.70016,0.71679,0.61139,0.63793,0.61445,0.64537,1.46606,0.63575,1.16298,0,0.7885,0.00158448,0.00158448,0.00158448
7,797.312,0.46414,0.661,0.38495,0.99701,0,0.8389,0.83467,0.7235,0.76445,0.6288,0.80438,0.69124,0.72526,0.61644,0.62069,0.56655,0.63639,1.39738,0.63118,1.16161,0,0.75673,0.00156798,0.00156798,0.00156798
8,907.436,0.45919,0.65957,0.3771,0.98861,0,0.81335,0.76566,0.73558,0.75119,0.62766,0.71285,0.72811,0.72203,0.61524,0.59914,0.55738,0.66123,1.47362,0.64825,1.17497,0,0.97729,0.00155148,0.00155148,0.00155148
9,1017.17,0.47732,0.67188,0.38738,0.9983,0,0.84142,0.79322,0.70485,0.7313,0.59323,0.75992,0.66964,0.69606,0.53487,0.55172,0.49594,0.82739,2.2248,0.89458,1.31262,0,1.17632,0.00153497,0.00153497,0.00153497
10,1127.4,0.44448,0.63722,0.3674,0.9828,0,0.80908,0.75848,0.74654,0.7502,0.61809,0.72534,0.69816,0.71201,0.5999,0.57328,0.52616,0.67413,1.52748,0.71032,1.20343,0,0.88049,0.00151847,0.00151847,0.00151847
11,1237.38,0.4519,0.62328,0.36556,0.98511,0,0.80664,0.83388,0.7212,0.75407,0.62936,0.77447,0.72613,0.72754,0.61441,0.59914,0.55371,0.66434,1.48425,0.64159,1.18876,0,0.96238,0.00150197,0.00150197,0.00150197
12,1347.15,0.43715,0.61631,0.34537,0.96892,0,0.79257,0.77462,0.76037,0.76357,0.63439,0.75718,0.72917,0.73161,0.61743,0.59052,0.53124,0.63168,1.43166,0.6051,1.17108,0,0.90878,0.00148546,0.00148546,0.00148546
13,1457.27,0.43124,0.61797,0.34154,0.97162,0,0.77056,0.79995,0.73541,0.75157,0.62026,0.75154,0.72581,0.72376,0.61174,0.65517,0.63296,0.67424,1.4013,0.64489,1.20278,0,0.79797,0.00146896,0.00146896,0.00146896
14,1567.76,0.42853,0.5961,0.33814,0.97212,0,0.76674,0.81982,0.71281,0.75279,0.6332,0.75464,0.72581,0.73008,0.62181,0.6681,0.6554,0.62763,1.45194,0.56017,1.15242,0,0.76593,0.00145246,0.00145246,0.00145246
15,1678.53,0.41917,0.60892,0.333,0.96779,0,0.74862,0.81997,0.7235,0.75639,0.63034,0.79975,0.70968,0.73657,0.62341,0.64655,0.6387,0.63168,1.38763,0.61013,1.16461,0,0.76753,0.00143595,0.00143595,0.00143595
16,1789.25,0.42067,0.58955,0.32709,0.96627,0,0.75807,0.77981,0.74885,0.76281,0.63064,0.75208,0.71889,0.72746,0.62125,0.63362,0.61128,0.6133,1.35628,0.5991,1.15404,0,0.76322,0.00141945,0.00141945,0.00141945
17,1899.8,0.41825,0.59343,0.32402,0.96133,0,0.74671,0.82872,0.73041,0.7615,0.62177,0.80971,0.70737,0.72439,0.61706,0.6681,0.63459,0.6654,1.46254,0.63718,1.22297,0,0.74103,0.00140295,0.00140295,0.00140295
