epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,train/mad_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),metrics/madurez_acc,metrics/madurez_f1,val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,val/mad_loss,lr/pg0,lr/pg1,lr/pg2
1,56.9103,0.97636,2.72164,2.38131,1.41633,0,1.61283,0.34882,0.52604,0.43042,0.35855,0.33877,0.50711,0.37939,0.23003,0.19247,0.06456,1.10364,2.8441,1.70404,1.54613,0,1.6198,0.000550705,0.000550705,0.000550705
2,77.3894,0.96119,2.46852,1.15059,1.40356,0,1.56475,0.54112,0.59261,0.57398,0.48249,0.54559,0.56052,0.54554,0.38298,0.39331,0.24737,0.93414,2.65907,1.28503,1.4103,0,1.33225,0.00109542,0.00109542,0.00109542
3,98.2045,1.00095,2.44548,1.19747,1.43373,0,1.26965,0.5756,0.53079,0.52272,0.4373,0.56465,0.51271,0.49471,0.32788,0.32218,0.23271,1.07184,2.67172,2.11857,1.5196,0,1.456,0.00162913,0.00162913,0.00162913
4,118.743,0.93451,2.39717,1.07765,1.39028,0,1.09083,0.53269,0.56528,0.55818,0.41792,0.55812,0.52864,0.51465,0.33595,0.43096,0.36687,1.24623,2.88804,1.72707,1.62329,0,1.35891,0.00161749,0.00161749,0.00161749
5,139.143,0.88825,2.40893,1.00265,1.33489,0,1.09843,0.64689,0.66303,0.6397,0.53723,0.65909,0.62679,0.60652,0.41831,0.56904,0.54273,0.77298,2.47462,0.93884,1.25852,0,0.92016,0.00160099,0.00160099,0.00160099
6,159.362,0.86069,2.36187,0.93163,1.32592,0,1.12095,0.60861,0.66059,0.60155,0.52163,0.59168,0.61302,0.55392,0.39096,0.48954,0.37481,0.77081,2.47246,0.86818,1.27057,0,1.09446,0.00158448,0.00158448,0.00158448
7,179.733,0.85486,2.26526,0.90682,1.30853,0,1.05299,0.61435,0.64661,0.62551,0.49821,0.62309,0.62225,0.60888,0.39772,0.48954,0.3728,1.04468,2.45326,1.21779,1.46075,0,1.23559,0.00156798,0.00156798,0.00156798
8,200.291,0.84357,2.22058,0.90614,1.30765,0,1.08446,0.61227,0.62714,0.65833,0.54956,0.64303,0.61829,0.64544,0.44062,0.5272,0.46442,0.788,2.18812,0.91771,1.26246,0,0.95695,0.00155148,0.00155148,0.00155148
9,220.266,0.82631,2.2175,0.88778,1.28859,0,1.12275,0.71866,0.66279,0.65964,0.54229,0.67553,0.61525,0.60257,0.41861,0.4728,0.42656,0.76601,2.34296,0.86077,1.25353,0,1.03115,0.00153497,0.00153497,0.00153497
10,240.352,0.80576,2.19487,0.85069,1.25565,0,1.02482,0.718,0.68252,0.68059,0.55863,0.71715,0.62162,0.63843,0.43713,0.49791,0.4466,0.7241,2.25408,0.82063,1.21382,0,0.96748,0.00151847,0.00151847,0.00151847
11,260.412,0.79604,2.16391,0.83533,1.26226,0,0.98595,0.67731,0.64524,0.64941,0.55786,0.64871,0.61285,0.60439,0.41643,0.53138,0.44049,0.73283,2.2911,0.82874,1.23738,0,0.96381,0.00150197,0.00150197,0.00150197
12,280.734,0.77078,2.11852,0.82619,1.2392,0,0.93977,0.34281,0.40526,0.39255,0.26621,0.36499,0.35344,0.33984,0.19982,0.36402,0.31441,1.41469,3.66903,2.39629,1.8029,0,1.4791,0.00148546,0.00148546,0.00148546
13,301.046,0.76576,2.07576,0.78849,1.24127,0,0.92224,0.7324,0.70884,0.73266,0.58654,0.72364,0.68782,0.68813,0.44062,0.53975,0.50405,0.73539,2.26161,0.78432,1.22026,0,0.91842,0.00146896,0.00146896,0.00146896
14,321.392,0.75877,2.0808,0.78174,1.22829,0,0.92908,0.78686,0.69129,0.72964,0.58326,0.76011,0.66987,0.68059,0.47403,0.58996,0.51745,0.70341,2.14983,0.77953,1.19219,0,0.94801,0.00145246,0.00145246,0.00145246
15,341.898,0.75528,2.13866,0.79541,1.22551,0,1.01895,0.72351,0.69419,0.69328,0.54385,0.66099,0.63224,0.6239,0.35419,0.56485,0.52519,0.85294,2.63887,0.97977,1.33988,0,0.90668,0.00143595,0.00143595,0.00143595
16,362.73,0.75925,2.09079,0.78746,1.23339,0,0.94575,0.80852,0.69349,0.7422,0.59074,0.74619,0.66758,0.69265,0.48219,0.56485,0.49431,0.6988,2.2009,0.79744,1.19996,0,1.00387,0.00141945,0.00141945,0.00141945
17,382.633,0.75249,2.05397,0.77027,1.21372,0,0.95133,0.71692,0.70445,0.7189,0.58398,0.69546,0.66758,0.67536,0.47287,0.54812,0.48353,0.71533,2.1341,0.74139,1.20358,0,0.9946,0.00140295,0.00140295,0.00140295
18,402.382,0.73008,2.05328,0.76606,1.22932,0,0.93676,0.78034,0.71742,0.73578,0.59581,0.72863,0.67844,0.67759,0.47797,0.53556,0.45551,0.67941,2.12789,0.72231,1.1874,0,1.01741,0.00138644,0.00138644,0.00138644
19,422.273,0.72654,2.02632,0.75364,1.20449,0,0.87241,0.72122,0.71542,0.70812,0.58535,0.7309,0.65442,0.67029,0.4734,0.58996,0.52173,0.68183,2.22828,0.74271,1.16895,0,0.84726,0.00136994,0.00136994,0.00136994
20,442.285,0.71713,1.97492,0.75251,1.19685,0,0.92528,0.74055,0.73296,0.7352,0.60537,0.70909,0.69838,0.69125,0.48984,0.40586,0.37352,0.67562,2.17951,0.75777,1.17173,0,1.28385,0.00135344,0.00135344,0.00135344
21,462.362,0.72273,1.99849,0.74499,1.19848,0,0.91936,0.77242,0.72638,0.73845,0.59588,0.75833,0.67689,0.69318,0.48548,0.57741,0.49938,0.69723,2.14784,0.74949,1.18379,0,0.96799,0.00133693,0.00133693,0.00133693
22,482.268,0.73659,1.99184,0.75785,1.19544,0,0.8606,0.77056,0.52544,0.64611,0.45321,0.67447,0.48814,0.54529,0.2941,0.64017,0.61497,1.10293,3.15698,1.70616,1.50199,0,0.82746,0.00132043,0.00132043,0.00132043
23,502.342,0.70955,1.99708,0.72797,1.18709,0,0.86415,0.78252,0.722,0.73481,0.60314,0.72455,0.68752,0.67531,0.48482,0.58577,0.53987,0.64296,2.09814,0.71839,1.14719,0,0.8059,0.00130393,0.00130393,0.00130393
24,522.441,0.70687,1.94191,0.7267,1.19382,0,0.91128,0.81592,0.72419,0.74934,0.60592,0.76934,0.68104,0.69623,0.46984,0.51464,0.47479,0.69981,2.16927,0.76114,1.19423,0,1.0197,0.00128742,0.00128742,0.00128742
25,542.513,0.70017,1.94676,0.72887,1.18142,0,0.88963,0.8132,0.72284,0.75415,0.61568,0.76933,0.69608,0.70063,0.48985,0.61925,0.60708,0.63539,2.14932,0.71017,1.15608,0,0.86376,0.00127092,0.00127092,0.00127092
26,562.539,0.68937,1.9679,0.72037,1.17808,0,0.86175,0.73582,0.73496,0.73969,0.60751,0.71775,0.71659,0.71527,0.50393,0.63598,0.59653,0.6751,2.03938,0.70162,1.16396,0,0.79736,0.00125442,0.00125442,0.00125442
