epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,train/mad_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),metrics/madurez_acc,metrics/madurez_f1,val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,val/mad_loss,lr/pg0,lr/pg1,lr/pg2
1,61.1876,0.97549,1.99444,2.35942,1.43813,0,1.61219,0.48165,0.48954,0.48364,0.44554,0.48165,0.48954,0.4835,0.4754,0.19247,0.06456,0.95044,1.87099,7.74136,1.44964,0,1.61398,0.000550705,0.000550705,0.000550705
2,81.5002,0.98904,1.7421,1.17941,1.43102,0,1.53895,0.42322,0.47671,0.46332,0.3558,0.46716,0.49405,0.47227,0.39675,0.40586,0.30067,1.39292,2.37094,1.55495,1.75094,0,1.24406,0.00109542,0.00109542,0.00109542
3,102.223,0.99741,1.81029,1.20689,1.48765,0,1.20667,0.97766,0.48954,0.51131,0.44705,0.97766,0.48954,0.50406,0.47116,0.4477,0.31316,0.99137,2.11126,1.50631,1.55101,0,1.85566,0.00162913,0.00162913,0.00162913
4,122.783,0.93667,1.69635,1.0895,1.42724,0,1.09326,0.553,0.62331,0.57511,0.4762,0.56561,0.60138,0.55972,0.50944,0.39331,0.24221,1.00067,1.92229,1.15267,1.45237,0,1.68479,0.00161749,0.00161749,0.00161749
5,143.266,0.89716,1.67285,1.01464,1.36352,0,1.08364,0.59104,0.64743,0.58261,0.49755,0.6123,0.63428,0.57351,0.51471,0.51883,0.45455,0.84099,1.75026,1.05204,1.34442,0,1.00952,0.00160099,0.00160099,0.00160099
6,163.719,0.86452,1.64481,0.9807,1.34195,0,1.09834,0.45001,0.52621,0.48071,0.34971,0.42017,0.48592,0.44576,0.25902,0.48954,0.43869,1.42451,3.38676,1.69034,2.00486,0,1.03358,0.00158448,0.00158448,0.00158448
7,184.434,0.84053,1.5915,0.94572,1.29344,0,1.02564,0.52593,0.6278,0.60942,0.49927,0.51371,0.59939,0.59372,0.48027,0.4728,0.4037,0.84818,1.88059,1.0355,1.32455,0,1.09941,0.00156798,0.00156798,0.00156798
8,204.7,0.82437,1.57315,0.91741,1.30204,0,1.0238,0.60285,0.61673,0.60634,0.5181,0.64218,0.60796,0.6021,0.53378,0.49791,0.40325,0.78242,1.58855,0.95944,1.26628,0,0.97022,0.00155148,0.00155148,0.00155148
9,224.684,0.79938,1.56535,0.87802,1.27136,0,1.02193,0.68426,0.69349,0.66115,0.54655,0.64836,0.65621,0.61999,0.53994,0.51883,0.45129,0.76075,1.61935,0.87287,1.2296,0,0.98071,0.00153497,0.00153497,0.00153497
10,244.567,0.77845,1.51468,0.84305,1.24788,0,0.97365,0.68703,0.66717,0.64647,0.54681,0.67054,0.63428,0.61403,0.54004,0.35146,0.27412,0.72009,1.56213,0.81917,1.22047,0,1.39528,0.00151847,0.00151847,0.00151847
11,264.188,0.77754,1.52996,0.83159,1.24568,0,0.94128,0.6794,0.67264,0.66096,0.55538,0.68161,0.65619,0.63929,0.55652,0.43933,0.37645,0.71807,1.5336,0.82244,1.2125,0,1.48399,0.00150197,0.00150197,0.00150197
12,284.142,0.77613,1.48924,0.82105,1.25257,0,0.90337,0.76405,0.67814,0.71433,0.57636,0.78013,0.66508,0.6784,0.56771,0.55649,0.48661,0.74076,1.56208,0.82047,1.23285,0,0.95211,0.00148546,0.00148546,0.00148546
13,304.253,0.75332,1.48591,0.79907,1.2478,0,0.8977,0.68207,0.63949,0.65405,0.53285,0.68433,0.62222,0.64931,0.54581,0.46444,0.36419,0.956,1.65804,1.16572,1.44802,0,1.17067,0.00146896,0.00146896,0.00146896
14,324.044,0.76625,1.4784,0.81424,1.24005,0,0.89083,0.74843,0.70007,0.71487,0.57676,0.72883,0.67156,0.68074,0.58176,0.62343,0.53491,0.71942,1.48102,0.81285,1.19838,0,0.85403,0.00145246,0.00145246,0.00145246
15,344.297,0.78518,1.4869,0.85509,1.24409,0,1.01198,0.6702,0.65182,0.66704,0.56424,0.79298,0.61502,0.6618,0.57171,0.60669,0.56266,0.71322,1.50192,0.83346,1.20071,0,0.84658,0.00143595,0.00143595,0.00143595
